instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,jenis_penyewa
430,2011-01-19,Spring,2011,Jan,22,Not Holiday,Wednesday,Working Day,Clear,0.3,0.303,0.52,0.1642,6,53,59,Evening Riders
431,2011-01-19,Spring,2011,Jan,23,Not Holiday,Wednesday,Working Day,Clear,0.3,0.2727,0.52,0.4627,1,27,28,Evening Riders
432,2011-01-20,Spring,2011,Jan,0,Not Holiday,Thursday,Working Day,Clear,0.26,0.2273,0.56,0.3881,5,8,13,Night Riders
433,2011-01-20,Spring,2011,Jan,1,Not Holiday,Thursday,Working Day,Clear,0.26,0.2727,0.56,0.0,2,3,5,Night Riders
434,2011-01-20,Spring,2011,Jan,2,Not Holiday,Thursday,Working Day,Clear,0.26,0.2727,0.56,0.0,0,2,2,Night Riders
435,2011-01-20,Spring,2011,Jan,3,Not Holiday,Thursday,Working Day,Clear,0.26,0.2576,0.56,0.1642,0,1,1,Night Riders
436,2011-01-20,Spring,2011,Jan,4,Not Holiday,Thursday,Working Day,Clear,0.26,0.2576,0.56,0.1642,0,1,1,Night Riders
437,2011-01-20,Spring,2011,Jan,5,Not Holiday,Thursday,Working Day,Clear,0.24,0.2273,0.6,0.2239,0,6,6,Morning Riders
438,2011-01-20,Spring,2011,Jan,6,Not Holiday,Thursday,Working Day,Clear,0.22,0.2121,0.6,0.2239,0,35,35,Morning Riders
439,2011-01-20,Spring,2011,Jan,7,Not Holiday,Thursday,Working Day,Clear,0.22,0.2121,0.55,0.2239,1,100,101,Morning Riders
440,2011-01-20,Spring,2011,Jan,8,Not Holiday,Thursday,Working Day,Clear,0.22,0.2121,0.55,0.2836,2,247,249,Morning Riders
441,2011-01-20,Spring,2011,Jan,9,Not Holiday,Thursday,Working Day,Mist,0.24,0.2273,0.52,0.2239,3,140,143,Morning Riders
442,2011-01-20,Spring,2011,Jan,10,Not Holiday,Thursday,Working Day,Clear,0.26,0.2273,0.48,0.2985,1,56,57,Morning Riders
443,2011-01-20,Spring,2011,Jan,11,Not Holiday,Thursday,Working Day,Mist,0.28,0.2727,0.45,0.1642,5,63,68,Morning Riders
444,2011-01-20,Spring,2011,Jan,12,Not Holiday,Thursday,Working Day,Mist,0.3,0.3333,0.42,0.0,7,77,84,Afternoon Riders
445,2011-01-20,Spring,2011,Jan,13,Not Holiday,Thursday,Working Day,Mist,0.28,0.2879,0.45,0.1045,12,86,98,Afternoon Riders
446,2011-01-20,Spring,2011,Jan,14,Not Holiday,Thursday,Working Day,Mist,0.3,0.303,0.45,0.1343,6,75,81,Afternoon Riders
447,2011-01-20,Spring,2011,Jan,15,Not Holiday,Thursday,Working Day,Mist,0.32,0.3182,0.45,0.194,8,62,70,Afternoon Riders
448,2011-01-20,Spring,2011,Jan,16,Not Holiday,Thursday,Working Day,Mist,0.3,0.303,0.49,0.1343,8,83,91,Afternoon Riders
449,2011-01-20,Spring,2011,Jan,17,Not Holiday,Thursday,Working Day,Mist,0.3,0.3182,0.49,0.1045,8,207,215,Afternoon Riders
450,2011-01-20,Spring,2011,Jan,18,Not Holiday,Thursday,Working Day,Mist,0.26,0.2576,0.56,0.194,1,184,185,Evening Riders
451,2011-01-20,Spring,2011,Jan,19,Not Holiday,Thursday,Working Day,Clear,0.26,0.2273,0.56,0.3284,6,146,152,Evening Riders
452,2011-01-20,Spring,2011,Jan,20,Not Holiday,Thursday,Working Day,Mist,0.26,0.2424,0.6,0.2836,2,124,126,Evening Riders
453,2011-01-20,Spring,2011,Jan,21,Not Holiday,Thursday,Working Day,Mist,0.24,0.2273,0.6,0.2537,3,54,57,Evening Riders
454,2011-01-20,Spring,2011,Jan,22,Not Holiday,Thursday,Working Day,Mist,0.24,0.2121,0.65,0.2836,0,56,56,Evening Riders
455,2011-01-20,Spring,2011,Jan,23,Not Holiday,Thursday,Working Day,Mist,0.24,0.2121,0.65,0.3284,3,28,31,Evening Riders
456,2011-01-21,Spring,2011,Jan,0,Not Holiday,Friday,Working Day,Mist,0.24,0.2273,0.7,0.2537,1,20,21,Night Riders
457,2011-01-21,Spring,2011,Jan,1,Not Holiday,Friday,Working Day,Mist,0.24,0.2273,0.7,0.2537,0,6,6,Night Riders
458,2011-01-21,Spring,2011,Jan,2,Not Holiday,Friday,Working Day,Light_snow,0.24,0.2424,0.75,0.1642,0,2,2,Night Riders
459,2011-01-21,Spring,2011,Jan,3,Not Holiday,Friday,Working Day,Light_snow,0.22,0.2121,0.8,0.2985,0,1,1,Night Riders
460,2011-01-21,Spring,2011,Jan,4,Not Holiday,Friday,Working Day,Mist,0.22,0.2576,0.87,0.0896,0,1,1,Night Riders
461,2011-01-21,Spring,2011,Jan,5,Not Holiday,Friday,Working Day,Clear,0.24,0.197,0.6,0.4179,1,4,5,Morning Riders
462,2011-01-21,Spring,2011,Jan,6,Not Holiday,Friday,Working Day,Clear,0.22,0.2121,0.55,0.2537,0,27,27,Morning Riders
463,2011-01-21,Spring,2011,Jan,7,Not Holiday,Friday,Working Day,Clear,0.2,0.1818,0.51,0.2836,2,66,68,Morning Riders
464,2011-01-21,Spring,2011,Jan,8,Not Holiday,Friday,Working Day,Clear,0.2,0.1818,0.47,0.3284,7,210,217,Morning Riders
465,2011-01-21,Spring,2011,Jan,9,Not Holiday,Friday,Working Day,Clear,0.2,0.1818,0.51,0.3582,7,159,166,Morning Riders
466,2011-01-21,Spring,2011,Jan,10,Not Holiday,Friday,Working Day,Clear,0.2,0.1667,0.47,0.4627,6,57,63,Morning Riders
467,2011-01-21,Spring,2011,Jan,11,Not Holiday,Friday,Working Day,Clear,0.22,0.1818,0.41,0.4627,6,53,59,Morning Riders
468,2011-01-21,Spring,2011,Jan,12,Not Holiday,Friday,Working Day,Clear,0.22,0.1818,0.27,0.5821,11,67,78,Afternoon Riders
469,2011-01-21,Spring,2011,Jan,13,Not Holiday,Friday,Working Day,Clear,0.2,0.1515,0.21,0.5821,8,65,73,Afternoon Riders
470,2011-01-21,Spring,2011,Jan,14,Not Holiday,Friday,Working Day,Clear,0.2,0.1515,0.25,0.5224,6,56,62,Afternoon Riders
471,2011-01-21,Spring,2011,Jan,15,Not Holiday,Friday,Working Day,Clear,0.16,0.1212,0.26,0.4478,4,61,65,Afternoon Riders
472,2011-01-21,Spring,2011,Jan,16,Not Holiday,Friday,Working Day,Clear,0.16,0.1364,0.26,0.3582,0,97,97,Afternoon Riders
473,2011-01-21,Spring,2011,Jan,17,Not Holiday,Friday,Working Day,Clear,0.14,0.1212,0.28,0.3582,10,151,161,Afternoon Riders
474,2011-01-21,Spring,2011,Jan,18,Not Holiday,Friday,Working Day,Clear,0.12,0.1212,0.3,0.2537,1,119,120,Evening Riders
475,2011-01-21,Spring,2011,Jan,19,Not Holiday,Friday,Working Day,Clear,0.12,0.1061,0.3,0.3284,3,93,96,Evening Riders
476,2011-01-21,Spring,2011,Jan,20,Not Holiday,Friday,Working Day,Clear,0.1,0.0758,0.33,0.4179,1,52,53,Evening Riders
477,2011-01-21,Spring,2011,Jan,21,Not Holiday,Friday,Working Day,Clear,0.08,0.0758,0.38,0.2836,0,41,41,Evening Riders
478,2011-01-21,Spring,2011,Jan,22,Not Holiday,Friday,Working Day,Clear,0.06,0.0303,0.41,0.3881,1,33,34,Evening Riders
479,2011-01-21,Spring,2011,Jan,23,Not Holiday,Friday,Working Day,Clear,0.06,0.0455,0.38,0.3284,0,27,27,Evening Riders
480,2011-01-22,Spring,2011,Jan,0,Not Holiday,Saturday,Holiday,Clear,0.04,0.0303,0.45,0.2537,0,13,13,Night Riders
481,2011-01-22,Spring,2011,Jan,1,Not Holiday,Saturday,Holiday,Mist,0.04,0.0,0.41,0.3881,3,9,12,Night Riders
482,2011-01-22,Spring,2011,Jan,2,Not Holiday,Saturday,Holiday,Mist,0.04,0.0303,0.41,0.2537,0,11,11,Night Riders
483,2011-01-22,Spring,2011,Jan,3,Not Holiday,Saturday,Holiday,Mist,0.04,0.0303,0.41,0.2836,1,6,7,Night Riders
484,2011-01-22,Spring,2011,Jan,4,Not Holiday,Saturday,Holiday,Mist,0.02,0.0152,0.48,0.2985,0,3,3,Night Riders
485,2011-01-22,Spring,2011,Jan,6,Not Holiday,Saturday,Holiday,Mist,0.02,0.0303,0.44,0.2239,0,2,2,Morning Riders
486,2011-01-22,Spring,2011,Jan,7,Not Holiday,Saturday,Holiday,Clear,0.02,0.0152,0.44,0.2836,0,8,8,Morning Riders
487,2011-01-22,Spring,2011,Jan,8,Not Holiday,Saturday,Holiday,Clear,0.02,0.0,0.44,0.3284,1,26,27,Morning Riders
488,2011-01-22,Spring,2011,Jan,9,Not Holiday,Saturday,Holiday,Clear,0.04,0.0303,0.41,0.2537,3,37,40,Morning Riders
489,2011-01-22,Spring,2011,Jan,10,Not Holiday,Saturday,Holiday,Mist,0.04,0.0606,0.41,0.1642,3,50,53,Morning Riders
490,2011-01-22,Spring,2011,Jan,11,Not Holiday,Saturday,Holiday,Mist,0.06,0.0758,0.38,0.1343,4,59,63,Morning Riders
491,2011-01-22,Spring,2011,Jan,12,Not Holiday,Saturday,Holiday,Mist,0.06,0.1061,0.38,0.1045,10,60,70,Afternoon Riders
492,2011-01-22,Spring,2011,Jan,13,Not Holiday,Saturday,Holiday,Clear,0.08,0.1667,0.35,0.0,12,72,84,Afternoon Riders
493,2011-01-22,Spring,2011,Jan,14,Not Holiday,Saturday,Holiday,Clear,0.1,0.1364,0.33,0.1045,11,64,75,Afternoon Riders
494,2011-01-22,Spring,2011,Jan,15,Not Holiday,Saturday,Holiday,Clear,0.12,0.1515,0.28,0.0,10,93,103,Afternoon Riders
495,2011-01-22,Spring,2011,Jan,16,Not Holiday,Saturday,Holiday,Clear,0.12,0.1364,0.28,0.194,11,72,83,Afternoon Riders
496,2011-01-22,Spring,2011,Jan,17,Not Holiday,Saturday,Holiday,Clear,0.12,0.197,0.28,0.0,8,59,67,Afternoon Riders
497,2011-01-22,Spring,2011,Jan,18,Not Holiday,Saturday,Holiday,Clear,0.08,0.0909,0.35,0.194,0,54,54,Evening Riders
498,2011-01-22,Spring,2011,Jan,19,Not Holiday,Saturday,Holiday,Clear,0.08,0.1061,0.35,0.1343,6,53,59,Evening Riders
499,2011-01-22,Spring,2011,Jan,20,Not Holiday,Saturday,Holiday,Clear,0.06,0.0758,0.45,0.1642,1,44,45,Evening Riders
500,2011-01-22,Spring,2011,Jan,21,Not Holiday,Saturday,Holiday,Clear,0.06,0.1061,0.41,0.0896,0,39,39,Evening Riders
501,2011-01-22,Spring,2011,Jan,22,Not Holiday,Saturday,Holiday,Clear,0.06,0.1515,0.49,0.0,7,23,30,Evening Riders
502,2011-01-22,Spring,2011,Jan,23,Not Holiday,Saturday,Holiday,Clear,0.04,0.0758,0.57,0.1045,2,31,33,Evening Riders
503,2011-01-23,Spring,2011,Jan,0,Not Holiday,Sunday,Holiday,Clear,0.04,0.0758,0.57,0.1045,2,20,22,Night Riders
504,2011-01-23,Spring,2011,Jan,1,Not Holiday,Sunday,Holiday,Clear,0.04,0.0758,0.57,0.1045,1,12,13,Night Riders
505,2011-01-23,Spring,2011,Jan,2,Not Holiday,Sunday,Holiday,Clear,0.02,0.0606,0.62,0.1343,3,15,18,Night Riders
506,2011-01-23,Spring,2011,Jan,3,Not Holiday,Sunday,Holiday,Clear,0.02,0.0606,0.62,0.1343,1,4,5,Night Riders
507,2011-01-23,Spring,2011,Jan,5,Not Holiday,Sunday,Holiday,Mist,0.04,0.0758,0.57,0.1045,0,3,3,Morning Riders
508,2011-01-23,Spring,2011,Jan,6,Not Holiday,Sunday,Holiday,Mist,0.04,0.0758,0.57,0.1045,0,1,1,Morning Riders
509,2011-01-23,Spring,2011,Jan,7,Not Holiday,Sunday,Holiday,Clear,0.08,0.1061,0.58,0.1642,1,1,2,Morning Riders
510,2011-01-23,Spring,2011,Jan,8,Not Holiday,Sunday,Holiday,Clear,0.06,0.0758,0.62,0.1642,2,17,19,Morning Riders
511,2011-01-23,Spring,2011,Jan,9,Not Holiday,Sunday,Holiday,Clear,0.1,0.0758,0.54,0.3582,3,25,28,Morning Riders
512,2011-01-23,Spring,2011,Jan,10,Not Holiday,Sunday,Holiday,Clear,0.14,0.1061,0.46,0.3881,7,51,58,Morning Riders
513,2011-01-23,Spring,2011,Jan,11,Not Holiday,Sunday,Holiday,Clear,0.14,0.1364,0.43,0.2239,22,77,99,Morning Riders
514,2011-01-23,Spring,2011,Jan,12,Not Holiday,Sunday,Holiday,Clear,0.16,0.1212,0.37,0.4627,24,92,116,Afternoon Riders
515,2011-01-23,Spring,2011,Jan,13,Not Holiday,Sunday,Holiday,Clear,0.14,0.1061,0.33,0.3881,12,75,87,Afternoon Riders
516,2011-01-23,Spring,2011,Jan,14,Not Holiday,Sunday,Holiday,Clear,0.16,0.1364,0.28,0.3582,17,93,110,Afternoon Riders
517,2011-01-23,Spring,2011,Jan,15,Not Holiday,Sunday,Holiday,Clear,0.16,0.1364,0.28,0.3582,13,64,77,Afternoon Riders
518,2011-01-23,Spring,2011,Jan,16,Not Holiday,Sunday,Holiday,Clear,0.16,0.1364,0.26,0.3284,9,56,65,Afternoon Riders
519,2011-01-23,Spring,2011,Jan,17,Not Holiday,Sunday,Holiday,Clear,0.14,0.1061,0.26,0.3881,5,50,55,Afternoon Riders
520,2011-01-23,Spring,2011,Jan,18,Not Holiday,Sunday,Holiday,Clear,0.12,0.1212,0.3,0.2537,5,44,49,Evening Riders
521,2011-01-23,Spring,2011,Jan,19,Not Holiday,Sunday,Holiday,Clear,0.12,0.1212,0.3,0.2836,5,45,50,Evening Riders
522,2011-01-23,Spring,2011,Jan,20,Not Holiday,Sunday,Holiday,Clear,0.1,0.1061,0.36,0.2537,4,31,35,Evening Riders
523,2011-01-23,Spring,2011,Jan,21,Not Holiday,Sunday,Holiday,Clear,0.1,0.1061,0.36,0.194,5,20,25,Evening Riders
524,2011-01-23,Spring,2011,Jan,22,Not Holiday,Sunday,Holiday,Clear,0.08,0.0909,0.38,0.194,5,23,28,Evening Riders
525,2011-01-23,Spring,2011,Jan,23,Not Holiday,Sunday,Holiday,Clear,0.06,0.0606,0.41,0.2239,4,17,21,Evening Riders
526,2011-01-24,Spring,2011,Jan,0,Not Holiday,Monday,Working Day,Clear,0.06,0.0606,0.41,0.194,0,7,7,Night Riders
527,2011-01-24,Spring,2011,Jan,1,Not Holiday,Monday,Working Day,Clear,0.04,0.0455,0.45,0.194,0,1,1,Night Riders
528,2011-01-24,Spring,2011,Jan,3,Not Holiday,Monday,Working Day,Clear,0.04,0.0303,0.45,0.2537,0,1,1,Night Riders
529,2011-01-24,Spring,2011,Jan,4,Not Holiday,Monday,Working Day,Clear,0.02,0.0606,0.48,0.1343,0,1,1,Night Riders
530,2011-01-24,Spring,2011,Jan,5,Not Holiday,Monday,Working Day,Clear,0.02,0.0606,0.48,0.1343,0,5,5,Morning Riders
531,2011-01-24,Spring,2011,Jan,6,Not Holiday,Monday,Working Day,Clear,0.02,0.0758,0.48,0.0896,0,15,15,Morning Riders
532,2011-01-24,Spring,2011,Jan,7,Not Holiday,Monday,Working Day,Clear,0.02,0.1212,0.48,0.0,5,79,84,Morning Riders
533,2011-01-24,Spring,2011,Jan,8,Not Holiday,Monday,Working Day,Clear,0.04,0.1364,0.49,0.0,6,171,177,Morning Riders
534,2011-01-24,Spring,2011,Jan,9,Not Holiday,Monday,Working Day,Clear,0.06,0.1515,0.41,0.0,4,98,102,Morning Riders
535,2011-01-24,Spring,2011,Jan,10,Not Holiday,Monday,Working Day,Clear,0.1,0.1364,0.42,0.0,6,34,40,Morning Riders
536,2011-01-24,Spring,2011,Jan,11,Not Holiday,Monday,Working Day,Clear,0.1,0.1212,0.46,0.1343,3,43,46,Morning Riders
537,2011-01-24,Spring,2011,Jan,12,Not Holiday,Monday,Working Day,Mist,0.12,0.1364,0.42,0.194,11,52,63,Afternoon Riders
538,2011-01-24,Spring,2011,Jan,13,Not Holiday,Monday,Working Day,Mist,0.14,0.1364,0.43,0.2239,6,54,60,Afternoon Riders
539,2011-01-24,Spring,2011,Jan,14,Not Holiday,Monday,Working Day,Mist,0.14,0.1364,0.46,0.2239,2,43,45,Afternoon Riders
540,2011-01-24,Spring,2011,Jan,15,Not Holiday,Monday,Working Day,Clear,0.16,0.1667,0.4,0.1642,7,50,57,Afternoon Riders
541,2011-01-24,Spring,2011,Jan,16,Not Holiday,Monday,Working Day,Clear,0.16,0.1515,0.47,0.2537,4,66,70,Afternoon Riders
542,2011-01-24,Spring,2011,Jan,17,Not Holiday,Monday,Working Day,Clear,0.14,0.1212,0.5,0.2537,6,178,184,Afternoon Riders
543,2011-01-24,Spring,2011,Jan,18,Not Holiday,Monday,Working Day,Clear,0.14,0.1364,0.59,0.194,8,145,153,Evening Riders
544,2011-01-24,Spring,2011,Jan,19,Not Holiday,Monday,Working Day,Clear,0.14,0.1515,0.54,0.1642,5,101,106,Evening Riders
545,2011-01-24,Spring,2011,Jan,20,Not Holiday,Monday,Working Day,Clear,0.14,0.1364,0.59,0.194,1,80,81,Evening Riders
546,2011-01-24,Spring,2011,Jan,21,Not Holiday,Monday,Working Day,Clear,0.14,0.1515,0.63,0.1642,6,53,59,Evening Riders
547,2011-01-24,Spring,2011,Jan,22,Not Holiday,Monday,Working Day,Mist,0.14,0.1364,0.63,0.2239,3,32,35,Evening Riders
548,2011-01-24,Spring,2011,Jan,23,Not Holiday,Monday,Working Day,Mist,0.16,0.1515,0.64,0.2537,3,21,24,Evening Riders
549,2011-01-25,Spring,2011,Jan,0,Not Holiday,Tuesday,Working Day,Mist,0.16,0.1364,0.69,0.2836,3,6,9,Night Riders
550,2011-01-25,Spring,2011,Jan,1,Not Holiday,Tuesday,Working Day,Mist,0.16,0.1667,0.69,0.1642,0,5,5,Night Riders
551,2011-01-25,Spring,2011,Jan,2,Not Holiday,Tuesday,Working Day,Clear,0.16,0.1515,0.69,0.2239,0,2,2,Night Riders
552,2011-01-25,Spring,2011,Jan,4,Not Holiday,Tuesday,Working Day,Clear,0.14,0.1667,0.74,0.1045,0,1,1,Night Riders
553,2011-01-25,Spring,2011,Jan,5,Not Holiday,Tuesday,Working Day,Clear,0.14,0.1364,0.74,0.2239,0,9,9,Morning Riders
554,2011-01-25,Spring,2011,Jan,6,Not Holiday,Tuesday,Working Day,Clear,0.16,0.1818,0.74,0.1045,1,35,36,Morning Riders
555,2011-01-25,Spring,2011,Jan,7,Not Holiday,Tuesday,Working Day,Clear,0.16,0.1515,0.74,0.2239,5,103,108,Morning Riders
556,2011-01-25,Spring,2011,Jan,8,Not Holiday,Tuesday,Working Day,Mist,0.16,0.1818,0.74,0.1343,5,233,238,Morning Riders
557,2011-01-25,Spring,2011,Jan,9,Not Holiday,Tuesday,Working Day,Mist,0.2,0.2273,0.64,0.0896,10,134,144,Morning Riders
558,2011-01-25,Spring,2011,Jan,10,Not Holiday,Tuesday,Working Day,Mist,0.22,0.2424,0.6,0.1045,6,49,55,Morning Riders
559,2011-01-25,Spring,2011,Jan,11,Not Holiday,Tuesday,Working Day,Mist,0.24,0.2424,0.6,0.1343,6,55,61,Morning Riders
560,2011-01-25,Spring,2011,Jan,12,Not Holiday,Tuesday,Working Day,Mist,0.26,0.2879,0.56,0.0896,21,85,106,Afternoon Riders
561,2011-01-25,Spring,2011,Jan,13,Not Holiday,Tuesday,Working Day,Mist,0.26,0.2727,0.56,0.1343,21,72,93,Afternoon Riders
562,2011-01-25,Spring,2011,Jan,14,Not Holiday,Tuesday,Working Day,Mist,0.3,0.3333,0.45,0.0,11,57,68,Afternoon Riders
563,2011-01-25,Spring,2011,Jan,15,Not Holiday,Tuesday,Working Day,Mist,0.32,0.3485,0.42,0.0,21,63,84,Afternoon Riders
564,2011-01-25,Spring,2011,Jan,16,Not Holiday,Tuesday,Working Day,Mist,0.32,0.3485,0.42,0.0,14,102,116,Afternoon Riders
565,2011-01-25,Spring,2011,Jan,17,Not Holiday,Tuesday,Working Day,Clear,0.3,0.3333,0.45,0.0,14,208,222,Afternoon Riders
566,2011-01-25,Spring,2011,Jan,18,Not Holiday,Tuesday,Working Day,Mist,0.3,0.3182,0.49,0.0896,7,218,225,Evening Riders
567,2011-01-25,Spring,2011,Jan,19,Not Holiday,Tuesday,Working Day,Mist,0.26,0.2576,0.65,0.1642,13,133,146,Evening Riders
568,2011-01-25,Spring,2011,Jan,20,Not Holiday,Tuesday,Working Day,Clear,0.24,0.2273,0.65,0.194,16,103,119,Evening Riders
569,2011-01-25,Spring,2011,Jan,21,Not Holiday,Tuesday,Working Day,Clear,0.24,0.2273,0.65,0.194,5,40,45,Evening Riders
570,2011-01-25,Spring,2011,Jan,22,Not Holiday,Tuesday,Working Day,Clear,0.22,0.2273,0.64,0.1642,4,49,53,Evening Riders
571,2011-01-25,Spring,2011,Jan,23,Not Holiday,Tuesday,Working Day,Mist,0.22,0.2273,0.64,0.1642,3,37,40,Evening Riders
572,2011-01-26,Spring,2011,Jan,0,Not Holiday,Wednesday,Working Day,Mist,0.22,0.2273,0.69,0.1343,3,14,17,Night Riders
573,2011-01-26,Spring,2011,Jan,1,Not Holiday,Wednesday,Working Day,Mist,0.24,0.2424,0.65,0.1343,0,5,5,Night Riders
574,2011-01-26,Spring,2011,Jan,2,Not Holiday,Wednesday,Working Day,Light_snow,0.22,0.2273,0.69,0.194,3,7,10,Night Riders
575,2011-01-26,Spring,2011,Jan,5,Not Holiday,Wednesday,Working Day,Light_snow,0.2,0.1818,0.86,0.2836,0,1,1,Morning Riders
576,2011-01-26,Spring,2011,Jan,6,Not Holiday,Wednesday,Working Day,Light_snow,0.2,0.1818,0.86,0.2836,0,8,8,Morning Riders
577,2011-01-26,Spring,2011,Jan,7,Not Holiday,Wednesday,Working Day,Light_snow,0.22,0.2121,0.87,0.2985,1,29,30,Morning Riders
578,2011-01-26,Spring,2011,Jan,8,Not Holiday,Wednesday,Working Day,Light_snow,0.22,0.2121,0.87,0.2985,3,69,72,Morning Riders
579,2011-01-26,Spring,2011,Jan,9,Not Holiday,Wednesday,Working Day,Light_snow,0.22,0.2121,0.87,0.2985,3,55,58,Morning Riders
580,2011-01-26,Spring,2011,Jan,10,Not Holiday,Wednesday,Working Day,Light_snow,0.22,0.2121,0.93,0.2836,2,26,28,Morning Riders
581,2011-01-26,Spring,2011,Jan,11,Not Holiday,Wednesday,Working Day,Light_snow,0.22,0.197,0.93,0.3284,6,35,41,Morning Riders
582,2011-01-26,Spring,2011,Jan,12,Not Holiday,Wednesday,Working Day,Light_snow,0.22,0.197,0.93,0.3284,7,41,48,Afternoon Riders
583,2011-01-26,Spring,2011,Jan,13,Not Holiday,Wednesday,Working Day,Light_snow,0.22,0.197,0.93,0.3284,4,43,47,Afternoon Riders
584,2011-01-26,Spring,2011,Jan,14,Not Holiday,Wednesday,Working Day,Light_snow,0.22,0.197,0.93,0.3582,0,36,36,Afternoon Riders
585,2011-01-26,Spring,2011,Jan,15,Not Holiday,Wednesday,Working Day,Light_snow,0.22,0.1818,0.93,0.4627,1,42,43,Afternoon Riders
586,2011-01-26,Spring,2011,Jan,16,Not Holiday,Wednesday,Working Day,Heavy_rain,0.22,0.197,0.93,0.3284,1,35,36,Afternoon Riders
587,2011-01-26,Spring,2011,Jan,17,Not Holiday,Wednesday,Working Day,Light_snow,0.2,0.1818,0.93,0.3582,0,26,26,Afternoon Riders
588,2011-01-27,Spring,2011,Jan,16,Not Holiday,Thursday,Working Day,Clear,0.22,0.2273,0.55,0.194,1,23,24,Afternoon Riders
589,2011-01-27,Spring,2011,Jan,17,Not Holiday,Thursday,Working Day,Clear,0.22,0.2424,0.55,0.1045,2,82,84,Afternoon Riders
590,2011-01-27,Spring,2011,Jan,18,Not Holiday,Thursday,Working Day,Clear,0.2,0.2273,0.69,0.0896,3,101,104,Evening Riders
591,2011-01-27,Spring,2011,Jan,19,Not Holiday,Thursday,Working Day,Clear,0.2,0.2273,0.69,0.0896,3,76,79,Evening Riders
592,2011-01-27,Spring,2011,Jan,20,Not Holiday,Thursday,Working Day,Clear,0.18,0.2121,0.74,0.0896,4,55,59,Evening Riders
593,2011-01-27,Spring,2011,Jan,21,Not Holiday,Thursday,Working Day,Clear,0.18,0.2121,0.74,0.0896,2,36,38,Evening Riders
594,2011-01-27,Spring,2011,Jan,22,Not Holiday,Thursday,Working Day,Clear,0.18,0.2121,0.74,0.0896,0,27,27,Evening Riders
595,2011-01-27,Spring,2011,Jan,23,Not Holiday,Thursday,Working Day,Clear,0.18,0.197,0.8,0.1642,0,16,16,Evening Riders
596,2011-01-28,Spring,2011,Jan,0,Not Holiday,Friday,Working Day,Mist,0.2,0.2121,0.75,0.1343,0,9,9,Night Riders
597,2011-01-28,Spring,2011,Jan,1,Not Holiday,Friday,Working Day,Mist,0.2,0.2121,0.75,0.1343,1,2,3,Night Riders
598,2011-01-28,Spring,2011,Jan,2,Not Holiday,Friday,Working Day,Mist,0.2,0.2121,0.75,0.1642,0,2,2,Night Riders
599,2011-01-28,Spring,2011,Jan,3,Not Holiday,Friday,Working Day,Mist,0.2,0.2273,0.75,0.1045,1,0,1,Night Riders
600,2011-01-28,Spring,2011,Jan,5,Not Holiday,Friday,Working Day,Mist,0.18,0.2121,0.8,0.1045,0,4,4,Morning Riders
601,2011-01-28,Spring,2011,Jan,6,Not Holiday,Friday,Working Day,Mist,0.18,0.197,0.8,0.1343,0,16,16,Morning Riders
602,2011-01-28,Spring,2011,Jan,7,Not Holiday,Friday,Working Day,Mist,0.16,0.197,0.86,0.0896,2,58,60,Morning Riders
603,2011-01-28,Spring,2011,Jan,8,Not Holiday,Friday,Working Day,Mist,0.16,0.197,0.86,0.0896,2,155,157,Morning Riders
604,2011-01-28,Spring,2011,Jan,9,Not Holiday,Friday,Working Day,Light_snow,0.18,0.2121,0.86,0.0896,6,95,101,Morning Riders
605,2011-01-28,Spring,2011,Jan,10,Not Holiday,Friday,Working Day,Light_snow,0.18,0.2121,0.86,0.1045,0,49,49,Morning Riders
606,2011-01-28,Spring,2011,Jan,11,Not Holiday,Friday,Working Day,Light_snow,0.18,0.2121,0.93,0.1045,0,30,30,Morning Riders
607,2011-01-28,Spring,2011,Jan,12,Not Holiday,Friday,Working Day,Light_snow,0.18,0.2121,0.93,0.1045,1,28,29,Afternoon Riders
608,2011-01-28,Spring,2011,Jan,13,Not Holiday,Friday,Working Day,Light_snow,0.18,0.2121,0.93,0.1045,0,31,31,Afternoon Riders
609,2011-01-28,Spring,2011,Jan,14,Not Holiday,Friday,Working Day,Light_snow,0.22,0.2727,0.8,0.0,2,36,38,Afternoon Riders
610,2011-01-28,Spring,2011,Jan,15,Not Holiday,Friday,Working Day,Mist,0.2,0.2576,0.86,0.0,1,40,41,Afternoon Riders
611,2011-01-28,Spring,2011,Jan,16,Not Holiday,Friday,Working Day,Clear,0.22,0.2727,0.8,0.0,10,70,80,Afternoon Riders
612,2011-01-28,Spring,2011,Jan,17,Not Holiday,Friday,Working Day,Clear,0.24,0.2424,0.75,0.1343,2,147,149,Afternoon Riders
613,2011-01-28,Spring,2011,Jan,18,Not Holiday,Friday,Working Day,Clear,0.24,0.2273,0.75,0.194,2,107,109,Evening Riders
614,2011-01-28,Spring,2011,Jan,19,Not Holiday,Friday,Working Day,Mist,0.24,0.2424,0.75,0.1343,5,84,89,Evening Riders
615,2011-01-28,Spring,2011,Jan,20,Not Holiday,Friday,Working Day,Mist,0.24,0.2273,0.7,0.194,1,61,62,Evening Riders
616,2011-01-28,Spring,2011,Jan,21,Not Holiday,Friday,Working Day,Mist,0.22,0.2273,0.75,0.1343,1,57,58,Evening Riders
